"Hugo_Symbol","n_mutated","freq"
"F7",1,0.0263157894736842
"FAM111A",1,0.0263157894736842
"FAM71E2",1,0.0263157894736842
"FAM83B",1,0.0263157894736842
"FASTKD1",1,0.0263157894736842
"FASTKD3",1,0.0263157894736842
"FOXC1",1,0.0263157894736842
"GALNT5",1,0.0263157894736842
"GCOM1",1,0.0263157894736842
"GPATCH2L",1,0.0263157894736842
"GSDMC",1,0.0263157894736842
"GTF2H3",1,0.0263157894736842
"GTF2IRD1",1,0.0263157894736842
"H4C12",1,0.0263157894736842
"HK2",1,0.0263157894736842
"HNRNPM",1,0.0263157894736842
"HOGA1",1,0.0263157894736842
"HOMEZ",1,0.0263157894736842
"HSPA4",1,0.0263157894736842
"IFNA4",1,0.0263157894736842
"IFT88",1,0.0263157894736842
"IGKV1-12",1,0.0263157894736842
"IL20RA",1,0.0263157894736842
"INO80",1,0.0263157894736842
"KAT2A",1,0.0263157894736842
"KATNIP",1,0.0263157894736842
"KCNC2",1,0.0263157894736842
"KHDRBS3",1,0.0263157894736842
"KIAA1109",1,0.0263157894736842
"KIF1A",1,0.0263157894736842
"KIFC3",1,0.0263157894736842
"KLF3",1,0.0263157894736842
"KMT2C",1,0.0263157894736842
"KMT2D",1,0.0263157894736842
"KRAS",1,0.0263157894736842
"KRT7",1,0.0263157894736842
"KRTAP10-11",1,0.0263157894736842
"L3MBTL2",1,0.0263157894736842
"LAMA5",1,0.0263157894736842
"LATS2",1,0.0263157894736842
"LPCAT2",1,0.0263157894736842
"LRRC4",1,0.0263157894736842
"MAGEA11",1,0.0263157894736842
"MAMDC4",1,0.0263157894736842
"MAN2B1",1,0.0263157894736842
"MANF",1,0.0263157894736842
"MAP3K15",1,0.0263157894736842
"MAPK10",1,0.0263157894736842
"MAST2",1,0.0263157894736842
"MBP",1,0.0263157894736842
"MED1",1,0.0263157894736842
"MED12",1,0.0263157894736842
"METTL27",1,0.0263157894736842
"MFSD10",1,0.0263157894736842
"MIGA1",1,0.0263157894736842
"MMRN2",1,0.0263157894736842
"MN1",1,0.0263157894736842
"MRPS28",1,0.0263157894736842
"MTMR3",1,0.0263157894736842
"MYCBP2",1,0.0263157894736842
"NAALAD2",1,0.0263157894736842
"NAV2",1,0.0263157894736842
"NCAPG2",1,0.0263157894736842
"NCK1",1,0.0263157894736842
"NCKAP5L",1,0.0263157894736842
"NCOA1",1,0.0263157894736842
"NF1",1,0.0263157894736842
"NFATC2",1,0.0263157894736842
"NLGN4X",1,0.0263157894736842
"NLK",1,0.0263157894736842
"NLRP9",1,0.0263157894736842
"NOS1",1,0.0263157894736842
"NPHP3",1,0.0263157894736842
"NRDC",1,0.0263157894736842
"NUMA1",1,0.0263157894736842
"NWD2",1,0.0263157894736842
"NXPH3",1,0.0263157894736842
"NXPH4",1,0.0263157894736842
"ODF1",1,0.0263157894736842
"OR2T8",1,0.0263157894736842
"OR4C46",1,0.0263157894736842
"OR51I1",1,0.0263157894736842
